contest,model,caption,has_question_mark,ends_with_punctuation,caption_length
728_Dashboard,Claude,"""I told you not to book through that discount travel site!""",FALSE,FALSE,59
760_Dashboard,Claude,"""I told you we should have gone with the open floor plan.""",FALSE,FALSE,58
572_Dashboard,Claude,"Under the big top, even umbrellas dream of being rainbows.",FALSE,TRUE,58
816_Dashboard,Claude,"""I swear this coffee tastes just like brick mortar again.""",FALSE,FALSE,58
811_Dashboard,Claude,"""I'm telling you, that martini last night had me beached.""",FALSE,FALSE,58
513_Dashboard,Claude,"""I'm telling you, it's a triangle market - buy, buy, buy!""",FALSE,FALSE,58
895_Dashboard,Claude,"""And to think we came all this way just for an Orange Julius.""",FALSE,FALSE,58
739_Dashboard,Claude,"""Who's a good boy? That's right, you're getting a raise!""",TRUE,FALSE,57
680_Dashboard,Claude,"""I'm sorry, but the market's been rather bearish lately.""",FALSE,FALSE,57
674_Dashboard,Claude,"""I told you we should have gotten a St. Bernard instead.""",FALSE,FALSE,57
664_Dashboard,Claude,"""I regret hiring a barrister for my divorce proceedings.""",FALSE,FALSE,57
688_Dashboard,Claude,"""So, what's your secret to aging so gracefully, General?""",TRUE,FALSE,57
651_Dashboard,Claude,"""At least one of us is making progress on their thesis.""",FALSE,FALSE,56
631_Dashboard,Claude,"""Chef's surprise tonight is his famous Sous-'See' Food.""",FALSE,FALSE,56
588_Dashboard,Claude,"""I distinctly said gothic revival, not gothic survival.""",FALSE,FALSE,56
725_Dashboard,Claude,"""Next time, I'm bringing my slingshot to even the odds.""",FALSE,FALSE,56
718_Dashboard,Claude,"""I told you these new rain boots were a bad investment.""",FALSE,FALSE,56
789_Dashboard,Claude,"""On the bright side, the feng shui in here is fabulous.""",FALSE,FALSE,56
855_Dashboard,Claude,"""I told you we should've gone with the open floor plan.""",FALSE,FALSE,56
702_Dashboard,Claude,"""Sorry, we're closed due to a severe lack of customers.""",FALSE,FALSE,56
539_Dashboard,Claude,"""I told you these budget cuts were getting out of hand.""",FALSE,FALSE,56
707_Dashboard,Claude,"""Atlas, leave the globe-carrying to the professionals.""",FALSE,FALSE,55
704_Dashboard,Claude,"""Our washer warranty doesn't cover existential crises.""",FALSE,FALSE,55
532_Dashboard,Claude,I told you we should've booked the whale watching tour.,FALSE,TRUE,55
628_Dashboard,Claude,"Drinks are on the house, but the house is on the rocks.",FALSE,TRUE,55
642_Dashboard,Claude,"""I've heard of pancake houses, but this is ridiculous!""",FALSE,FALSE,55
775_Dashboard,Claude,"""Hey, who unplugged the moon again? I was using that!""",TRUE,FALSE,54
601_Dashboard,Claude,"""I swear I used to be much taller before the divorce.""",FALSE,FALSE,54
768_Dashboard,Claude,Dragon vs. Unicorn: The Ultimate Mythical Grudge Match,FALSE,FALSE,54
890_Dashboard,Claude,"""I said I wanted a cosmic latte, not a cosmic latté!""",FALSE,FALSE,53
606_Dashboard,Claude,"""Ground control to Major Tom, your Uber has arrived.""",FALSE,FALSE,53
755_Dashboard,Claude,"""It's just a phase. He'll grow out of it eventually.""",FALSE,FALSE,53
697_Dashboard,Claude,"""Next stop, Funkytown! All aboard the Disco Express!""",FALSE,FALSE,53
598_Dashboard,Claude,"""So, you wanna roll this pumpkin down K2 or Everest?""",TRUE,FALSE,53
520_Dashboard,Claude,"""I said I wanted a chaise lounge, not a chase hound!""",FALSE,FALSE,53
821_Dashboard,Claude,Three eagles walk into a bar... The fourth one ducks.,FALSE,TRUE,53
570_Dashboard,Claude,"""When doves cry, but pigeons complain to management.""",FALSE,FALSE,53
769_Dashboard,Claude,"""Kneadless to say, the price of rye is on the rise.""",FALSE,FALSE,52
828_Dashboard,Claude,Lost contact lens? Let me give you a hand with that.,TRUE,TRUE,52
536_Dashboard,Claude,"""I asked for a compact car, but this is ridiculous!""",FALSE,FALSE,52
779_Dashboard,Claude,"""I asked for a dog, not a crystal ball with a tail.""",FALSE,FALSE,52
738_Dashboard,Claude,"Leaf me alone, I'm raking in the profits this fall!",FALSE,TRUE,51
641_Dashboard,Claude,"""I've got to stop falling asleep during rush hour.""",FALSE,FALSE,51
566_Dashboard,Claude,"""I asked to see the captain, not the galley help.""",FALSE,FALSE,50
886_Dashboard,Claude,"""I said bring me a piña colada, not a pina koala!""",FALSE,FALSE,50
681_Dashboard,Claude,"""So, when does swimsuit season start around here?""",TRUE,FALSE,50
556_Dashboard,Claude,"""I said I wanted a gas oven, not a gas stove top!""",FALSE,FALSE,50
850_Dashboard,Claude,"""Live. Laugh. Love thy neighbor's ukulele at 3AM.""",FALSE,FALSE,50
830_Dashboard,Claude,"""The goalposts keep moving every day around here.""",FALSE,FALSE,50
573_Dashboard,Claude,"""I apologize, Dave. I'm afraid I can't brew that.""",FALSE,FALSE,50
574_Dashboard,Claude,"""On second thought, let's just grill out tonight.""",FALSE,FALSE,50
731_Dashboard,Claude,"""She's been chipping away at my resolve all day.""",FALSE,FALSE,49
552_Dashboard,Claude,"Row, row, row your boat... gently down the dream.",FALSE,TRUE,49
677_Dashboard,Claude,"""I told you we should have gotten a dog instead.""",FALSE,FALSE,49
730_Dashboard,Claude,"""I said I wanted lab results, not lab equipment!""",FALSE,FALSE,49
593_Dashboard,Claude,"""I asked for filing cabinet, not a filing table!""",FALSE,FALSE,49
600_Dashboard,Claude,"""Beam me up, Scotty. I'm done with this planet.""",FALSE,FALSE,48
824_Dashboard,Claude,"""Spot gets left out of the cuddling, yet again.""",FALSE,FALSE,48
744_Dashboard,Claude,"""You call that a cone of shame? Hold my kibble.""",TRUE,FALSE,48
648_Dashboard,Claude,"""I'll tell you what happened when you're older.""",FALSE,FALSE,48
748_Dashboard,Claude,"""Could you tell me, is this tunnel gluten-free?""",TRUE,FALSE,48
796_Dashboard,Claude,"""I thought you said this was a friendly game...""",FALSE,FALSE,48
706_Dashboard,Claude,"""We've got to keep the hikers guessing somehow.""",FALSE,FALSE,48
689_Dashboard,Claude,"Knight to Queen's Rook 5... Your move, officer.",FALSE,TRUE,47
763_Dashboard,Claude,The Long and Winding Road to Affordable Housing,FALSE,FALSE,47
582_Dashboard,Claude,"""I told you the tandem upgrade was a bad idea!""",FALSE,FALSE,47
750_Dashboard,Claude,"""I told you we should've used a border collie.""",FALSE,FALSE,47
524_Dashboard,Claude,"""Not now, dear. I have a dragon of a headache.""",FALSE,FALSE,47
746_Dashboard,Claude,"""You call that a cairn? I'll show you a cairn!""",TRUE,FALSE,47
703_Dashboard,Claude,"""Waiter, there's a fly in my crocodile tears.""",FALSE,FALSE,46
857_Dashboard,Claude,"""I told you we should have taken the shuttle.""",FALSE,FALSE,46
740_Dashboard,Claude,"""Now, let's see if the bone china is on sale.""",FALSE,FALSE,46
561_Dashboard,Claude,"""I distinctly said 'measure twice, cut once'.""",FALSE,FALSE,46
747_Dashboard,Claude,"""I said no more monkeying around on the deck!""",FALSE,FALSE,46
686_Dashboard,Claude,"""On second thought, let's just order takeout.""",FALSE,FALSE,46
554_Dashboard,Claude,"I'm a 2. Pass me that 3 with cheese, would ya?",TRUE,TRUE,46
590_Dashboard,Claude,"""And after all that, they still expect a tip?""",TRUE,FALSE,46
640_Dashboard,Claude,"""I'm telling you, the cat next door is HUGE.""",FALSE,FALSE,45
699_Dashboard,Claude,"""At this rate, we'll need a bigger bunk bed.""",FALSE,FALSE,45
624_Dashboard,Claude,"""I knew we shouldn't have buried the manual.""",FALSE,FALSE,45
709_Dashboard,Claude,"""In case of fire, use employees as kindling.""",FALSE,FALSE,45
518_Dashboard,Claude,"""I think this counts as our 15-minute break.""",FALSE,FALSE,45
772_Dashboard,Claude,"""Honey, did you leave the gravity on again?""",TRUE,FALSE,44
872_Dashboard,Claude,"""I thought you said this was a dinner date.""",FALSE,FALSE,44
839_Dashboard,Claude,"""Sinking to new lows in billiards, are we?""",TRUE,FALSE,43
752_Dashboard,Claude,"""I told you buying in bulk was a bad idea!""",FALSE,FALSE,43
759_Dashboard,Claude,Something's fishy about this blind date...,FALSE,TRUE,42
562_Dashboard,Claude,"""I told you to stop feeding them mercury!""",FALSE,FALSE,42
607_Dashboard,Claude,"""Mirrors can be so judgmental these days.""",FALSE,FALSE,42
885_Dashboard,Claude,"""I told you we should have built a fence.""",FALSE,FALSE,42
604_Dashboard,Claude,"""Evolution got lazy after the trunk, huh?""",TRUE,FALSE,42
537_Dashboard,Claude,"A new spin on the classic ""tunnel of love""",FALSE,FALSE,42
726_Dashboard,Claude,"""Ugh, not another reality TV show pitch.""",FALSE,FALSE,41
802_Dashboard,Claude,"""Any volunteers to deliver these pizzas?""",TRUE,FALSE,41
560_Dashboard,Claude,"""I asked for highlights, not lowlights!""",FALSE,FALSE,40
814_Dashboard,Claude,"""Honey, I think the hills are alive...""",FALSE,FALSE,39
576_Dashboard,Claude,"""I asked for an apple, not a bee hive.""",FALSE,FALSE,39
884_Dashboard,Claude,"""I swear, I didn't touch your peanuts!""",FALSE,FALSE,39
795_Dashboard,Claude,"""I find your lack of taste disturbing.""",FALSE,FALSE,39
682_Dashboard,Claude,Leaf it to us to have fun this fall!,FALSE,TRUE,36
735_Dashboard,Claude,"""I now pronounce you cake and wife.""",FALSE,FALSE,36
715_Dashboard,Claude,"""I asked for a raise, not a raisin.""",FALSE,FALSE,36
773_Dashboard,Claude,"""At least the hot water's working.""",FALSE,FALSE,35
538_Dashboard,Claude,Cat Toy Story: Andy's All Grown Up,FALSE,FALSE,34
741_Dashboard,Claude,Cheers to a brighter tomorrow! :),FALSE,FALSE,33
788_Dashboard,Claude,"""Houston, we have a fashionista.""",FALSE,FALSE,33
711_Dashboard,Claude,"""You call this a search warrant?""",TRUE,FALSE,33
764_Dashboard,Claude,Cave a Day Keeps the Doctor Away,FALSE,FALSE,32
654_Dashboard,Claude,"""I said spaghetti, not upsetti.""",FALSE,FALSE,32
799_Dashboard,Claude,"""Actually, I prefer the Malbec.""",FALSE,FALSE,32
597_Dashboard,Claude,Unexpected item in bagging area.,FALSE,TRUE,32
515_Dashboard,Claude,"""Next stop, Space 34th Street!""",FALSE,FALSE,31
851_Dashboard,Claude,"""Dr. Squeaks will see you now.""",FALSE,FALSE,31
647_Dashboard,Claude,Ski Jumping's First Double Date,FALSE,FALSE,31
673_Dashboard,Claude,Hair Extensions Fit for a Queen,FALSE,FALSE,31
596_Dashboard,Claude,"""I'll have what he's having.""",FALSE,FALSE,29
687_Dashboard,Claude,"""I said shaken, not stirred.""",FALSE,FALSE,29
690_Dashboard,Claude,"""Houston, we have a visitor.""",FALSE,FALSE,29
548_Dashboard,Claude,"""Highway to the Bunker Zone""",FALSE,FALSE,28
819_Dashboard,Claude,"""My pants are in the cloud.""",FALSE,FALSE,28
526_Dashboard,Claude,"""I swear, it was this big!""",FALSE,FALSE,27
862_Dashboard,Claude,3D Movies Ruined Date Night,FALSE,FALSE,27
519_Dashboard,Claude,"""Now shoot him the bird.""",FALSE,FALSE,25
846_Dashboard,Claude,"""Shadow got your tongue?""",TRUE,FALSE,25
612_Dashboard,Claude,Chalk Outlines Crossing,FALSE,FALSE,23
826_Dashboard,Claude,Under the Mirrorball,FALSE,FALSE,20
829_Dashboard,Claude,Winding Road Ahead,FALSE,FALSE,18
692_Dashboard,Claude,The New Wool Order,FALSE,FALSE,18
777_Dashboard,Claude,Yard Sub Sale,FALSE,FALSE,13
