contest,model,caption
638_Dashboard,ChatGPT (gpt-4o),"""It's called 'Uber-Leg,' and it's revolutionizing my morning commute."""
768_Dashboard,ChatGPT (gpt-4o),"""Relax, Sir Lancelot, we'll resume the kidnapping right after the tiebreaker."""
523_Dashboard,ChatGPT (gpt-4o),"""Ever since we subscribed to that wildlife channel, things have really gotten out of hand."""
692_Dashboard,ChatGPT (gpt-4o),"""Trust me, the wolf in sheep’s clothing was so last season. Have you considered the zebra?"""
675_Dashboard,ChatGPT (gpt-4o),"""Looks like someone didn't get the memo about Casual Friday."""
725_Dashboard,ChatGPT (gpt-4o),"""William, seriously, it's just a hat with a cherry on top."""
798_Dashboard,ChatGPT (gpt-4o),"""Well, at least one of us is having a great night under the full moon."""
846_Dashboard,ChatGPT (gpt-4o),"""Ever since we ran out of treats, his shadow’s been on strike."""
579_Dashboard,ChatGPT (gpt-4o),"""I’m telling you, Dave — until we start paying tribute in tuna, there will be no peace talks."""
851_Dashboard,ChatGPT (gpt-4o),"""I think we've taken the ‘working from home’ experiment a bit too far."""
662_Dashboard,ChatGPT (gpt-4o),"""In retrospect, the Viking theme was a bold choice."""
732_Dashboard,ChatGPT (gpt-4o),"""And when did you first realize Mr. Snuggles couldn't be trusted as an alibi?"""
540_Dashboard,ChatGPT (gpt-4o),"""Good news, your assets are in great shape, but your liquidity could use some exercise."""
868_Dashboard,ChatGPT (gpt-4o),"""Doc, I just can't seem to chill."""
557_Dashboard,ChatGPT (gpt-4o),"""Trust me, Adam, this pie is way more interesting than any apple."""
736_Dashboard,ChatGPT (gpt-4o),"""Yes, Harold, it's cool. But have you considered the asteroid?"""
666_Dashboard,ChatGPT (gpt-4o),"“Given that you feel unappreciated, let's start with how the couch makes you feel.”"
855_Dashboard,ChatGPT (gpt-4o),"“Well, maybe it’s time to get GPS for our conversations too.”"
842_Dashboard,ChatGPT (gpt-4o),"""Despite the delays, Norman couldn't help but appreciate the airline's commitment to authenticity."""
721_Dashboard,ChatGPT (gpt-4o),"""Look, we all have our coping mechanisms, Peter."""
671_Dashboard,ChatGPT (gpt-4o),"""If we announce the Wi-Fi password, they might never leave."""
553_Dashboard,ChatGPT (gpt-4o),"""Well, Karen, on the bright side, it looks like we're getting that open office plan you always wanted."""
718_Dashboard,ChatGPT (gpt-4o),"""Look, Carl, if you're going to call them 'horseshoes,' I'm going to take it literally."""
648_Dashboard,ChatGPT (gpt-4o),"""Behold, the Great Houdini’s final trick: corporate downsizing!"""
544_Dashboard,ChatGPT (gpt-4o),"""I knew the promotion would go to his head, but this is ridiculous."""
577_Dashboard,ChatGPT (gpt-4o),"""In retrospect, subscribing to the 'All-You-Can-Eat Streaming Service' was a mistake."""
796_Dashboard,ChatGPT (gpt-4o),"""I said we should strike out more, not move into the bowling alley!"""
848_Dashboard,ChatGPT (gpt-4o),"“Oh great, first it was the bees, now they're sending kids to pollinate.”"
560_Dashboard,ChatGPT (gpt-4o),"""Ugh, ever since they got indoor Wi-Fi, they've totally forgotten about us."""
781_Dashboard,ChatGPT (gpt-4o),"""Harold's new security system was a bit overkill, but no one dared to double dip in the guacamole again."""
871_Dashboard,ChatGPT (gpt-4o),"""Just hexed my ex. Three likes already!"""
642_Dashboard,ChatGPT (gpt-4o),"""For the last time, Carl, it's a peace offering, not a pancake offering."""
712_Dashboard,ChatGPT (gpt-4o),"""Frank, I know the third quarter meteor is concerning, but let's focus on diversifying our asteroid portfolio."""
655_Dashboard,ChatGPT (gpt-4o),"""And in conclusion, let me reiterate: it's not a popularity contest, it's a planetarity contest."""
705_Dashboard,ChatGPT (gpt-4o),"“Looks like the espresso bandits struck again, partner.”"
559_Dashboard,ChatGPT (gpt-4o),"""Next time, let’s just pretend we didn’t find the treasure."""
866_Dashboard,ChatGPT (gpt-4o),"""Sure, I've got my problems. But hey, at least I don't have your dry cleaning bill."""
738_Dashboard,ChatGPT (gpt-4o),"""I can handle the leaves, but I draw the line at intergalactic toddlers."""
668_Dashboard,ChatGPT (gpt-4o),"""Look, I know we got off on the wrong foot with the whole 'kidnapping the princess' thing, but can we just chalk it up to a bad first date?"""
564_Dashboard,ChatGPT (gpt-4o),"""Actually, Karen, I've decided to outsource our HR to someone who can really give a hoot."""
785_Dashboard,ChatGPT (gpt-4o),"""Y'know, Jake, some days I feel like I'm saddled with nothing but treble."""
573_Dashboard,ChatGPT (gpt-4o),"""Honestly, Harold, you could have just told me you didn’t like my cooking."""
792_Dashboard,ChatGPT (gpt-4o),"""Somehow, I think our SOS in E minor might be sending mixed signals."""
862_Dashboard,ChatGPT (gpt-4o),"""Finally, Karen understood why the world looked so flat to everyone else."""
701_Dashboard,ChatGPT (gpt-4o),"""Did you say gluten-free or glue trap free?"""
651_Dashboard,ChatGPT (gpt-4o),"""Well, that explains why your yoga routine was feeling a bit constricting lately."""
716_Dashboard,ChatGPT (gpt-4o),"""This diet plan has just one rule: only eat if you absolutely, positively can't stand it anymore."""
646_Dashboard,ChatGPT (gpt-4o),"""Don't look now, but I think we just lost our tour guide to a crypto board meeting."""
875_Dashboard,ChatGPT (gpt-4o),"""They must have a meeting in the south."""
892_Dashboard,ChatGPT (gpt-4o),"""Yes, Kevin, I get it. You prefer reading e-books now."""
510_Dashboard,ChatGPT (gpt-4o),"""Despite their differences, the Monday morning rush hour clique was a well-oiled machine with only one objective: ignore the guy stuck in the sidewalk crack."""
838_Dashboard,ChatGPT (gpt-4o),"""And then, at the stroke of midnight, the humans invented fire insurance!"""
885_Dashboard,ChatGPT (gpt-4o),"""The flurry in a hurry to prove who's the heavyweight chump."""
698_Dashboard,ChatGPT (gpt-4o),"""Relax, it's just king casual Friday."""
816_Dashboard,ChatGPT (gpt-4o),"""So you're saying you're not 'emotionally unavailable,' but more 'structurally unsound?'"""
529_Dashboard,ChatGPT (gpt-4o),"""You wanted a raise, right?"""
775_Dashboard,ChatGPT (gpt-4o),"""Guys, I told you ‘Rock’ isn’t a genre, it’s a prophecy."""
625_Dashboard,ChatGPT (gpt-4o),"""Unfazed, Throg thought to himself, 'Base-ball no different than mammoth ball, except smaller target and less chance of being trampled.'"""
594_Dashboard,ChatGPT (gpt-4o),"""Autumn had a smile on everything except their dwindling pumpkin spice lattes."""
762_Dashboard,ChatGPT (gpt-4o),"""According to your résumé, you're a natural at slow and steady. The question is, can you handle fast and absurd?"""
632_Dashboard,ChatGPT (gpt-4o),"""I'm telling you, Detective, the suspect is a master of nesting deception."""
583_Dashboard,ChatGPT (gpt-4o),"“Apparently, they take casual Fridays very seriously here.”"
801_Dashboard,ChatGPT (gpt-4o),"""Look, I know you're Death, but you can't just 'take' my queen!"""
881_Dashboard,ChatGPT (gpt-4o),"“Look, I don’t make the rules, but rock, paper, and scissors can only be served together on Tuesdays.”"
514_Dashboard,ChatGPT (gpt-4o),"""When budget cuts hit the Wild West, the high-speed chases took a hit too."""
618_Dashboard,ChatGPT (gpt-4o),"""And this is where I keep my trophies from the annual Fantasy Football league."""
748_Dashboard,ChatGPT (gpt-4o),"“Next time, let's just take the bread-making workshop.”"
805_Dashboard,ChatGPT (gpt-4o),"""You see, Harold, this is why we can't ignore the elephant in the room."""
636_Dashboard,ChatGPT (gpt-4o),"""Jerry, I told you to network, not to bring Death himself to lunch!"""
766_Dashboard,ChatGPT (gpt-4o),"""I know it's midnight, Harold, but it's National Clean Your House Day somewhere."""
587_Dashboard,ChatGPT (gpt-4o),"""It's surreal. We live our whole lives avoiding them, and now they're in a museum."""
621_Dashboard,ChatGPT (gpt-4o),"""Remember, keep your visor down during board meetings. It’s our only defense against those PowerPoint presentations."""
771_Dashboard,ChatGPT (gpt-4o),"""Note to self: Next time, just say we’re out of change."""
590_Dashboard,ChatGPT (gpt-4o),"""If you ask me, Gary’s mid-life crisis is getting a bit out of hand."""
812_Dashboard,ChatGPT (gpt-4o),"""Have you tried... not barking up the wrong tree?"""
886_Dashboard,ChatGPT (gpt-4o),"“I don't care if we saved a lot on airfare, Jim—I'm not putting on lotion for a staycation.”"
758_Dashboard,ChatGPT (gpt-4o),"""Another busy day in Brooklyn: Tax advice, tarot readings, and apparently, house calls in pajamas."""
608_Dashboard,ChatGPT (gpt-4o),"""Behold, the mighty Pipe Organ—a triumph of music and heating efficiency!"""
513_Dashboard,ChatGPT (gpt-4o),"""You know, sometimes it feels like the whole company's emotional baggage is in this briefcase."""
891_Dashboard,ChatGPT (gpt-4o),"""Johnson, for the fifth time this quarter, we need brighter ideas, not slider pitches."""
802_Dashboard,ChatGPT (gpt-4o),"""30 minutes or the pizza's free, and yes, that includes the scaffolding."""
761_Dashboard,ChatGPT (gpt-4o),"""Yes, Susan, it's organic. But let’s not get hung up on the farm-to-table thing."""
631_Dashboard,ChatGPT (gpt-4o),"“Of course it's gluten-free — I threw it above 10,000 feet!”"
580_Dashboard,ChatGPT (gpt-4o),"""Introducing the new Royal Hammock — for those days when ruling feels like a bit too much."""
776_Dashboard,ChatGPT (gpt-4o),"""Well, the good news is, he doesn't mind house calls."""
626_Dashboard,ChatGPT (gpt-4o),"""Jerry regretted combining his Monday morning call with Cowboy Yoga."""
597_Dashboard,ChatGPT (gpt-4o),"""She figured out that as long as she travels as ‘carry-on,’ she flies for free."""
815_Dashboard,ChatGPT (gpt-4o),"""Yes, I'm gluten-free, but I'm also steak-curious."""
895_Dashboard,ChatGPT (gpt-4o),"""We've mastered intergalactic travel, but we still can’t find the food court."""
828_Dashboard,ChatGPT (gpt-4o),"""And just when I was about to break par, they showed up asking for their ball back."""
517_Dashboard,ChatGPT (gpt-4o),"""Honestly, your honor, we argue that 'Reaper on the beach' is purely artistic expression."""
882_Dashboard,ChatGPT (gpt-4o),"""Well, it ain't the Kentucky Derby, but he's sure makin' a run for the Olympic team."""
811_Dashboard,ChatGPT (gpt-4o),"""The shore thing is to relax and whale away the afternoon.”"
622_Dashboard,ChatGPT (gpt-4o),"""Just trying to raise the steaks during rush hour."""
772_Dashboard,ChatGPT (gpt-4o),"""Yes, dear, it’s a great idea to float. But I'm just here for a midnight snack."""
593_Dashboard,ChatGPT (gpt-4o),"""Susan, I'll be working from home indefinitely — HR says I need to remove my backstabber."""
635_Dashboard,ChatGPT (gpt-4o),"""I have to admit, Lance, your 'guard up' approach to dating is really starting to weigh on me."""
765_Dashboard,ChatGPT (gpt-4o),"""We should really talk to our travel agents."""
584_Dashboard,ChatGPT (gpt-4o),"""Corporate announced a cloning initiative to increase productivity. Now, let's try to sort out who's who."""
806_Dashboard,ChatGPT (gpt-4o),"""Well, technically, I am a 'lifeguard' for the kingdom."""
688_Dashboard,ChatGPT (gpt-4o),"""Well, I would have just pinned it to the fridge, but I guess wearing the grocery list works too."""
539_Dashboard,ChatGPT (gpt-4o),"""Gary, we specifically said 'cliff notes,' not 'cliff climbing.'"""
563_Dashboard,ChatGPT (gpt-4o),"""Jim had finally reached his cardio zenith: the hamster wheel at the home office."""
782_Dashboard,ChatGPT (gpt-4o),"""I told you we should have taken that left turn at the imaginary intersection."""
574_Dashboard,ChatGPT (gpt-4o),"""I think the directions said to preheat the grill to 'Manual Mode'."""
795_Dashboard,ChatGPT (gpt-4o),"""Ah yes, the ‘Ex-Rib-Eater’ special. Bon appétit, madame."""
678_Dashboard,ChatGPT (gpt-4o),"""I told you that couples yoga class was a bad idea."""
728_Dashboard,ChatGPT (gpt-4o),"""Looks like we found opposite ends of the 'work from home' spectrum."""
865_Dashboard,ChatGPT (gpt-4o),"""Do you ever wonder if out there, there's a dog staring back at us, pondering the meaning of bones?"""
656_Dashboard,ChatGPT (gpt-4o),"""I understand, Dave, but I'm afraid 'banjo antics' isn't commonly listed under 'midlife crisis'."""
706_Dashboard,ChatGPT (gpt-4o),"""Well, Martha, it’s either Route A or wait for the express wildebeest migration."""
641_Dashboard,ChatGPT (gpt-4o),"""And that's when I decided it was easier to bring the flock to Manhattan than counting them every night."""
711_Dashboard,ChatGPT (gpt-4o),"""Audrey finally understood why Barry had insisted on calling it 'home base.'"""
872_Dashboard,ChatGPT (gpt-4o),"""Frank, it's not that I don't appreciate the effort, but these candlelit dinners take forever."""
570_Dashboard,ChatGPT (gpt-4o),"""Nature's peace and quiet seemed to have its own plans this year."""
791_Dashboard,ChatGPT (gpt-4o),"""I told you downsizing would be ruff, but this is just absurd."""
567_Dashboard,ChatGPT (gpt-4o),"""Frankly, Steve, if you want me to think outside the box, you have to respect my morning process."""
858_Dashboard,ChatGPT (gpt-4o),"""Pssst, buddy. Looking to adopt? These fell off the back of a truck."""
786_Dashboard,ChatGPT (gpt-4o),"""Luckily for you, Jake here starting fetching five years earlier."""
549_Dashboard,ChatGPT (gpt-4o),"""I'm afraid I can't give you a raise, but on the bright side, we now have Casual Restraint Fridays."""
876_Dashboard,ChatGPT (gpt-4o),"""Well, Diane, it seems Mickey took the concept of 'mouse heaven' a bit too literally with the new lab decor."""
715_Dashboard,ChatGPT (gpt-4o),"""Humpty Dumpty had had a great fall, but now he was ready for a smooth bourbon."""
645_Dashboard,ChatGPT (gpt-4o),"“Yes, it does come with built-in fantasy slanting for added whimsical appeal — and no extra cost for the ladder maintenance.”"
702_Dashboard,ChatGPT (gpt-4o),"""Sorry, we don't do 'The Hitchcock' here."""
652_Dashboard,ChatGPT (gpt-4o),"“Well, Tom, it’s either a mirage, or Willy Wonka finally launched his cruise line.”"
861_Dashboard,ChatGPT (gpt-4o),"“Meanwhile, at the Annual Cowboy Croquet Championship, tensions were as high as their hats.”"
